pregunta;dominio;formulacion;control;campos;modo;recorridos;nodos;opcion;etiqueta;glosas;acepcionNucleo;estado;salida;editor;frase;fraseSinValor;sinSena;rutas
Q.ID.AVISO;identificacion;¿Prefiere recibir avisos por mensaje escrito?;polar3;polaridad;frase;identificacion#5;n-s6-acceso_comunicativ-11|n-s6-seguimiento_prelim-10;si;Sí;SÍ;polaridad;afirmado;False;;Sí, prefiero recibir avisos por mensaje escrito.;;False;recorrido|respuesta al funcionario
Q.ID.AVISO;identificacion;¿Prefiere recibir avisos por mensaje escrito?;polar3;polaridad;frase;identificacion#5;n-s6-acceso_comunicativ-11|n-s6-seguimiento_prelim-10;no;No;NO;polaridad;negado;False;;No quiero recibir avisos por mensaje escrito.;;False;recorrido|respuesta al funcionario
Q.ID.AVISO;identificacion;¿Prefiere recibir avisos por mensaje escrito?;polar3;polaridad;frase;identificacion#5;n-s6-acceso_comunicativ-11|n-s6-seguimiento_prelim-10;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé qué prefiero.;;False;recorrido|respuesta al funcionario
Q.ID.DOC_NUMERO;identificacion;¿Cuál es el número de su documento?;seleccion_unica;documento;frase;identificacion#3;;numero;Escribir el número;;;afirmado;False;documento_numero;El número de mi documento es {numero}.;;False;recorrido
Q.ID.DOC_TIENE;identificacion;¿Tiene su carnet de identidad?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-09;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo mi carnet de identidad.;;False;respuesta al funcionario
Q.ID.DOC_TIENE;identificacion;¿Tiene su carnet de identidad?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-09;no;No;NO;polaridad;negado;False;;No tengo mi carnet de identidad.;;False;respuesta al funcionario
Q.ID.DOC_TIENE;identificacion;¿Tiene su carnet de identidad?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-09;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si lo tengo conmigo.;;False;respuesta al funcionario
Q.ID.DOC_TIPO;identificacion;¿Qué documento presenta?;seleccion_unica;documento;frase;identificacion#2;;carnet;Carnet de identidad;PAPEL|IDENTIDAD;documento;afirmado;False;;Presento mi carnet de identidad.;;False;recorrido
Q.ID.DOC_TIPO;identificacion;¿Qué documento presenta?;seleccion_unica;documento;frase;identificacion#2;;pasaporte;Pasaporte;;;afirmado;False;;Presento mi pasaporte.;;True;recorrido
Q.ID.DOC_TIPO;identificacion;¿Qué documento presenta?;seleccion_unica;documento;frase;identificacion#2;;licencia;Licencia de conducir;;;afirmado;False;;Presento mi licencia de conducir.;;True;recorrido
Q.ID.DOC_TIPO;identificacion;¿Qué documento presenta?;seleccion_unica;documento;frase;identificacion#2;;otro;Otro documento (escribir);;;afirmado;False;texto_detalle;Presento este documento: «{texto}».;;False;recorrido
Q.ID.DOC_TIPO;identificacion;¿Qué documento presenta?;seleccion_unica;documento;frase;identificacion#2;;ninguno;No tengo un documento;NO;polaridad;negado;True;;No tengo un documento conmigo.;;False;recorrido
Q.ID.EDAD_PROPIA;identificacion;¿Qué edad tiene?;seleccion_unica;edad;frase;identificacion#8;;edad;Escribir mi edad;;;afirmado;False;edad;Tengo {n} años.;;False;recorrido
Q.ID.NOMBRE;identificacion;¿Cuál es su nombre completo?;seleccion_unica;nombre;frase;identificacion#1;n-s6-acceso_comunicativ-07;nombre;Escribir mi nombre;;;afirmado;False;texto_nombre;Me llamo {nombre}.;;False;recorrido|respuesta al funcionario
Q.ID.TELEFONO_PROPIO;identificacion;¿Cuál es su número de celular?;seleccion_unica;telefono;frase;identificacion#4;;telefono;Escribir mi número;;;afirmado;False;telefono;Mi número de celular es {telefono}.;;False;recorrido
Q.ID.TELEFONO_VALIDA;identificacion;¿Este número de celular es suyo?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-10;si;Sí;SÍ;polaridad;afirmado;False;;Sí, ese número es mío.;;False;respuesta al funcionario
Q.ID.TELEFONO_VALIDA;identificacion;¿Este número de celular es suyo?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-10;no;No;NO;polaridad;negado;False;;No, ese número no es mío.;;False;respuesta al funcionario
Q.ID.TELEFONO_VALIDA;identificacion;¿Este número de celular es suyo?;polar3;polaridad;frase;;n-s6-acceso_comunicativ-10;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No estoy seguro de que sea mi número.;;False;respuesta al funcionario
Q.LUG.DENTRO_FUERA;lugar;¿Ocurrió dentro o fuera del lugar?;alternativa;lugar;frase;;n-s6-inicio_de_denuncia-08;dentro;Dentro;DENTRO;lugar;afirmado;False;;Ocurrió dentro.;;False;respuesta al funcionario
Q.LUG.DENTRO_FUERA;lugar;¿Ocurrió dentro o fuera del lugar?;alternativa;lugar;frase;;n-s6-inicio_de_denuncia-08;fuera;Fuera;FUERA;lugar;afirmado;False;;Ocurrió fuera.;;False;respuesta al funcionario
Q.LUG.DENTRO_FUERA;lugar;¿Ocurrió dentro o fuera del lugar?;alternativa;lugar;frase;;n-s6-inicio_de_denuncia-08;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé si fue dentro o fuera.;;False;respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;calle;En la calle;CALLE;lugar;afirmado;False;lugar_literal;Ocurrió en la calle{?nombre}.;Ocurrió en la calle.;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;avenida;En una avenida;AVENIDA;lugar;afirmado;False;lugar_literal;Ocurrió en la avenida{?nombre}.;Ocurrió en la avenida.;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;plaza;En una plaza;PLAZA;lugar;afirmado;False;lugar_literal;Ocurrió en la plaza{?nombre}.;Ocurrió en la plaza.;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;mercado;En un mercado;MERCADO;lugar;afirmado;False;lugar_literal;Ocurrió en el mercado{?nombre}.;Ocurrió en el mercado.;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;barrio;En un barrio;BARRIO;lugar;afirmado;False;lugar_literal;Ocurrió en el barrio{?nombre}.;Ocurrió en el barrio.;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;tienda;En una tienda;TIENDA;lugar|objeto;afirmado;False;lugar_literal;Ocurrió en una tienda{?nombre}.;Ocurrió en una tienda.;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;casa;En mi casa;CASA;lugar|objeto;afirmado;False;;Ocurrió en mi casa.;;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;micro;Dentro de un micro;MICRO;lugar|objeto;afirmado;False;;Ocurrió dentro de un micro.;;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;trufi;Dentro de un trufi;TRUFI;lugar|objeto;afirmado;False;;Ocurrió dentro de un trufi.;;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;otro;Otro lugar (escribir);;;afirmado;False;texto_detalle;Ocurrió en «{texto}».;;False;recorrido|respuesta al funcionario
Q.LUG.DONDE;lugar;¿Dónde ocurrió?;seleccion_unica;lugar;frase;denuncia_robo#9|violencia#8|otro#4;n-s6-inicio_de_denuncia-07;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé exactamente dónde ocurrió.;;False;recorrido|respuesta al funcionario
Q.LUG.RELACION;lugar;¿Fue cerca de algún lugar que conozca?;seleccion_unica;lugar;frase;denuncia_robo#10;;cerca;Cerca de…;CERCA;lugar;afirmado;False;referencia;Fue cerca de este lugar: «{referencia}».;;False;recorrido
Q.LUG.RELACION;lugar;¿Fue cerca de algún lugar que conozca?;seleccion_unica;lugar;frase;denuncia_robo#10;;al_lado;Al lado de…;AL_LADO;lugar;afirmado;False;referencia;Fue al lado de este lugar: «{referencia}».;;False;recorrido
Q.LUG.RELACION;lugar;¿Fue cerca de algún lugar que conozca?;seleccion_unica;lugar;frase;denuncia_robo#10;;lejos;Lejos de…;LEJOS;lugar;afirmado;False;referencia;Fue lejos de este lugar: «{referencia}».;;False;recorrido
Q.ORI.SEPDAVI;apoyo;¿Desea orientación para recibir asistencia de SEPDAVI?;polar3;polaridad;frase;;n-s6-agresion_violenci-10;si;Sí;SÍ;polaridad;afirmado;False;;Sí, quiero orientación de SEPDAVI.;;False;respuesta al funcionario
Q.ORI.SEPDAVI;apoyo;¿Desea orientación para recibir asistencia de SEPDAVI?;polar3;polaridad;frase;;n-s6-agresion_violenci-10;no;No;NO;polaridad;negado;False;;Por ahora no.;;False;respuesta al funcionario
Q.ORI.SEPDAVI;apoyo;¿Desea orientación para recibir asistencia de SEPDAVI?;polar3;polaridad;frase;;n-s6-agresion_violenci-10;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé todavía.;;False;respuesta al funcionario
Q.PER.CONOCE;persona;¿Conoce a la persona involucrada?;polar3;polaridad;frase;denuncia_robo#11;n-s6-inicio_de_denuncia-09;si;Sí;SÍ;polaridad;afirmado;False;;Sí, conozco a esa persona.;;False;recorrido|respuesta al funcionario
Q.PER.CONOCE;persona;¿Conoce a la persona involucrada?;polar3;polaridad;frase;denuncia_robo#11;n-s6-inicio_de_denuncia-09;no;No;NO;polaridad;negado;False;;No conozco a esa persona.;;False;recorrido|respuesta al funcionario
Q.PER.CONOCE;persona;¿Conoce a la persona involucrada?;polar3;polaridad;frase;denuncia_robo#11;n-s6-inicio_de_denuncia-09;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si la conozco.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.CABELLO;descripcion;¿Qué color de cabello recuerda?;seleccion_unica;rasgo;frase;;n-s6-descripcion_de_per-05;negro;Negro;CABELLO|NEGRO;rasgo;afirmado;False;;Tenía el cabello negro.;;False;respuesta al funcionario
Q.PER.DESC.CABELLO;descripcion;¿Qué color de cabello recuerda?;seleccion_unica;rasgo;frase;;n-s6-descripcion_de_per-05;otro;Otro color (escribir);;;afirmado;False;texto_detalle;Tenía el cabello «{texto}».;;False;respuesta al funcionario
Q.PER.DESC.CABELLO;descripcion;¿Qué color de cabello recuerda?;seleccion_unica;rasgo;frase;;n-s6-descripcion_de_per-05;no_recuerda;No recuerdo;RECORDAR|NO;hecho|polaridad;desconocido;True;;No recuerdo el color de su cabello.;;False;respuesta al funcionario
Q.PER.DESC.CONTEXTURA;descripcion;¿Era delgado o de contextura gruesa?;alternativa;rasgo;frase;denuncia_robo#18;n-s6-descripcion_de_per-04;flaco;Delgada;FLACO;rasgo;afirmado;False;;Era una persona delgada.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.CONTEXTURA;descripcion;¿Era delgado o de contextura gruesa?;alternativa;rasgo;frase;denuncia_robo#18;n-s6-descripcion_de_per-04;gordo;De contextura gruesa;GORDO;rasgo;afirmado;False;;Era una persona de contextura gruesa.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.CONTEXTURA;descripcion;¿Era delgado o de contextura gruesa?;alternativa;rasgo;frase;denuncia_robo#18;n-s6-descripcion_de_per-04;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No recuerdo su contextura.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.EDAD;descripcion;¿Qué edad aproximada tenía?;seleccion_unica;edad;frase;denuncia_robo#16;n-s6-descripcion_de_per-02;numero;Escribir la edad;;;afirmado;False;edad;Tenía {aprox}{n} años.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.EDAD;descripcion;¿Qué edad aproximada tenía?;seleccion_unica;edad;frase;denuncia_robo#16;n-s6-descripcion_de_per-02;joven;Era joven;JOVEN;edad|rasgo;afirmado;False;;Era una persona joven.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.EDAD;descripcion;¿Qué edad aproximada tenía?;seleccion_unica;edad;frase;denuncia_robo#16;n-s6-descripcion_de_per-02;adulto;Era adulta;ADULTO;edad|rasgo;afirmado;False;;Era una persona adulta.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.EDAD;descripcion;¿Qué edad aproximada tenía?;seleccion_unica;edad;frase;denuncia_robo#16;n-s6-descripcion_de_per-02;no_recuerda;No recuerdo;RECORDAR|NO;hecho|polaridad;desconocido;True;;No recuerdo su edad.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ESTATURA;descripcion;¿Era alto o bajo?;alternativa;rasgo;frase;denuncia_robo#17;n-s6-descripcion_de_per-03;alto;Alta;ALTO;rasgo;afirmado;False;;Era una persona alta.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ESTATURA;descripcion;¿Era alto o bajo?;alternativa;rasgo;frase;denuncia_robo#17;n-s6-descripcion_de_per-03;bajo;Baja;BAJO;rasgo;afirmado;False;;Era una persona baja.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ESTATURA;descripcion;¿Era alto o bajo?;alternativa;rasgo;frase;denuncia_robo#17;n-s6-descripcion_de_per-03;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No recuerdo su estatura.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.GORRA;descripcion;¿Llevaba gorra?;polar3;polaridad;frase;;n-s6-descripcion_de_per-07;si;Sí;SÍ;polaridad;afirmado;False;;Sí, llevaba gorra.;;False;respuesta al funcionario
Q.PER.DESC.GORRA;descripcion;¿Llevaba gorra?;polar3;polaridad;frase;;n-s6-descripcion_de_per-07;no;No;NO;polaridad;negado;False;;No llevaba gorra.;;False;respuesta al funcionario
Q.PER.DESC.GORRA;descripcion;¿Llevaba gorra?;polar3;polaridad;frase;;n-s6-descripcion_de_per-07;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No recuerdo si llevaba gorra.;;False;respuesta al funcionario
Q.PER.DESC.LENTES;descripcion;¿Usaba lentes?;polar3;polaridad;frase;;n-s6-descripcion_de_per-09;si;Sí;SÍ;polaridad;afirmado;False;;Sí, usaba lentes.;;False;respuesta al funcionario
Q.PER.DESC.LENTES;descripcion;¿Usaba lentes?;polar3;polaridad;frase;;n-s6-descripcion_de_per-09;no;No;NO;polaridad;negado;False;;No usaba lentes.;;False;respuesta al funcionario
Q.PER.DESC.LENTES;descripcion;¿Usaba lentes?;polar3;polaridad;frase;;n-s6-descripcion_de_per-09;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No recuerdo si usaba lentes.;;False;respuesta al funcionario
Q.PER.DESC.MOCHILA;descripcion;¿Llevaba mochila o bolsa?;alternativa;prenda|polaridad;frase;;n-s6-descripcion_de_per-08;mochila;Una mochila;MOCHILA;objeto|prenda;afirmado;False;;Llevaba una mochila.;;False;respuesta al funcionario
Q.PER.DESC.MOCHILA;descripcion;¿Llevaba mochila o bolsa?;alternativa;prenda|polaridad;frase;;n-s6-descripcion_de_per-08;bolsa;Una bolsa;BOLSA;objeto|prenda;afirmado;False;;Llevaba una bolsa.;;False;respuesta al funcionario
Q.PER.DESC.MOCHILA;descripcion;¿Llevaba mochila o bolsa?;alternativa;prenda|polaridad;frase;;n-s6-descripcion_de_per-08;ninguna;Ninguna;NO;polaridad;negado;False;;No llevaba mochila ni bolsa.;;False;respuesta al funcionario
Q.PER.DESC.MOCHILA;descripcion;¿Llevaba mochila o bolsa?;alternativa;prenda|polaridad;frase;;n-s6-descripcion_de_per-08;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No recuerdo si llevaba mochila o bolsa.;;False;respuesta al funcionario
Q.PER.DESC.RASGO;descripcion;¿Recuerda alguna característica particular?;texto_detalle;detalle;frase;;n-s6-descripcion_de_per-10;texto;Escribir la característica;;;afirmado;False;texto_detalle;Recuerdo esto de esa persona: «{texto}».;;False;respuesta al funcionario
Q.PER.DESC.RASGO;descripcion;¿Recuerda alguna característica particular?;texto_detalle;detalle;frase;;n-s6-descripcion_de_per-10;no_recuerda;No recuerdo;RECORDAR|NO;hecho|polaridad;desconocido;True;;No recuerdo ninguna característica particular.;;False;respuesta al funcionario
Q.PER.DESC.ROPA;descripcion;¿Qué ropa llevaba?;seleccion_multiple;prenda;frase;denuncia_robo#19;n-s6-descripcion_de_per-06;polera;Polera;POLERA;objeto|prenda;afirmado;False;;una polera;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ROPA;descripcion;¿Qué ropa llevaba?;seleccion_multiple;prenda;frase;denuncia_robo#19;n-s6-descripcion_de_per-06;pantalon;Pantalón;PANTALÓN;objeto|prenda;afirmado;False;;un pantalón;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ROPA;descripcion;¿Qué ropa llevaba?;seleccion_multiple;prenda;frase;denuncia_robo#19;n-s6-descripcion_de_per-06;chamarra;Chamarra;CHAMARRA;objeto|prenda;afirmado;False;;una chamarra;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ROPA;descripcion;¿Qué ropa llevaba?;seleccion_multiple;prenda;frase;denuncia_robo#19;n-s6-descripcion_de_per-06;gorra;Gorra;GORRA;objeto|prenda;afirmado;False;;una gorra;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ROPA;descripcion;¿Qué ropa llevaba?;seleccion_multiple;prenda;frase;denuncia_robo#19;n-s6-descripcion_de_per-06;mochila;Mochila;MOCHILA;objeto|prenda;afirmado;False;;una mochila;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ROPA;descripcion;¿Qué ropa llevaba?;seleccion_multiple;prenda;frase;denuncia_robo#19;n-s6-descripcion_de_per-06;otro;Otra prenda o color (escribir);;;afirmado;False;texto_detalle;«{texto}»;;False;recorrido|respuesta al funcionario
Q.PER.DESC.ROPA;descripcion;¿Qué ropa llevaba?;seleccion_multiple;prenda;frase;denuncia_robo#19;n-s6-descripcion_de_per-06;no_recuerda;No recuerdo;RECORDAR|NO;hecho|polaridad;desconocido;True;;No recuerdo su ropa.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.SEXO;descripcion;¿Era un hombre o una mujer?;alternativa;persona;frase;denuncia_robo#15;n-s6-descripcion_de_per-01;hombre;Un hombre;HOMBRE;persona;afirmado;False;;Era un hombre.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.SEXO;descripcion;¿Era un hombre o una mujer?;alternativa;persona;frase;denuncia_robo#15;n-s6-descripcion_de_per-01;mujer;Una mujer;MUJER;persona;afirmado;False;;Era una mujer.;;False;recorrido|respuesta al funcionario
Q.PER.DESC.SEXO;descripcion;¿Era un hombre o una mujer?;alternativa;persona;frase;denuncia_robo#15;n-s6-descripcion_de_per-01;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé si era hombre o mujer.;;False;recorrido|respuesta al funcionario
Q.PER.DESCRIBIR;descripcion;¿Quiere describir a la persona?;polar2;polaridad;frase;denuncia_robo#14;;si;Sí;SÍ;polaridad;afirmado;False;;;;False;recorrido
Q.PER.DESCRIBIR;descripcion;¿Quiere describir a la persona?;polar2;polaridad;frase;denuncia_robo#14;;no;No;NO;polaridad;negado;False;;;;False;recorrido
Q.PER.NOMBRE_TERCERO;persona;¿Sabe cómo se llama esa persona?;seleccion_unica;nombre;frase;denuncia_robo#13|violencia#5|amenaza_digital#5;;nombre;Escribir su nombre;;;afirmado;False;texto_nombre;Se llama {nombre}.;;False;recorrido
Q.PER.NOMBRE_TERCERO;persona;¿Sabe cómo se llama esa persona?;seleccion_unica;nombre;frase;denuncia_robo#13|violencia#5|amenaza_digital#5;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No sé cómo se llama.;;False;recorrido
Q.PER.OBSERVADA;testigos;¿A quién vio?;seleccion_unica;persona;frase;otro#2;;hombre;Un hombre;HOMBRE;persona;afirmado;False;;Vi a un hombre.;;False;recorrido
Q.PER.OBSERVADA;testigos;¿A quién vio?;seleccion_unica;persona;frase;otro#2;;mujer;Una mujer;MUJER;persona;afirmado;False;;Vi a una mujer.;;False;recorrido
Q.PER.OBSERVADA;testigos;¿A quién vio?;seleccion_unica;persona;frase;otro#2;;ladron;A la persona que robó;LADRÓN;persona;afirmado;False;;Vi a la persona que robó.;;False;recorrido
Q.PER.OBSERVADA;testigos;¿A quién vio?;seleccion_unica;persona;frase;otro#2;;no_sabe;No sé;NO_SABER;polaridad;desconocido;True;;No vi bien a la persona.;;False;recorrido
Q.PER.OTROS_PRESENTES;persona;¿Había otras personas presentes?;polar3;polaridad;frase;;n-s6-inicio_de_denuncia-11;si;Sí;SÍ;polaridad;afirmado;False;;Sí, había otras personas.;;False;respuesta al funcionario
Q.PER.OTROS_PRESENTES;persona;¿Había otras personas presentes?;polar3;polaridad;frase;;n-s6-inicio_de_denuncia-11;no;No;NO;polaridad;negado;False;;No había otras personas.;;False;respuesta al funcionario
Q.PER.OTROS_PRESENTES;persona;¿Había otras personas presentes?;polar3;polaridad;frase;;n-s6-inicio_de_denuncia-11;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si había otras personas.;;False;respuesta al funcionario
Q.PER.RECONOCE;persona;¿Puede identificarla si la vuelve a ver?;polar3;polaridad;frase;;n-s6-inicio_de_denuncia-10;si;Sí;SÍ;polaridad;afirmado;False;;Sí, si la vuelvo a ver puedo identificarla.;;False;respuesta al funcionario
Q.PER.RECONOCE;persona;¿Puede identificarla si la vuelve a ver?;polar3;polaridad;frase;;n-s6-inicio_de_denuncia-10;no;No;NO;polaridad;negado;False;;No podría identificarla.;;False;respuesta al funcionario
Q.PER.RECONOCE;persona;¿Puede identificarla si la vuelve a ver?;polar3;polaridad;frase;;n-s6-inicio_de_denuncia-10;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No sé si podría identificarla.;;False;respuesta al funcionario
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;pareja;Mi pareja;PAREJA;persona;afirmado;False;;Es mi pareja.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;expareja;Mi expareja;PAREJA|PASADO;persona;afirmado;False;;Es mi expareja.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;esposa;Mi esposa;ESPOSA;persona;afirmado;False;;Es mi esposa.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;hermano;Mi hermano;HERMANO;persona;afirmado;False;;Es mi hermano.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;hermana;Mi hermana;HERMANA;persona;afirmado;False;;Es mi hermana.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;pariente;Un pariente;PARIENTE;persona;afirmado;False;;Es un pariente.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;amigo;Un amigo;AMIGO;persona;afirmado;False;;Es un amigo.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;conocido;Un conocido;CONOCER;hecho|persona;afirmado;False;;Es un conocido.;;False;recorrido
Q.PER.VINCULO;persona;¿Qué relación tiene con esa persona?;seleccion_unica;persona;frase;denuncia_robo#12|violencia#4|amenaza_digital#4;;otro;Otra relación (escribir);;;afirmado;False;texto_detalle;Es {texto}.;;False;recorrido
Q.RIE.AMENAZAS;riesgo;¿Recibió amenazas?;polar3;polaridad;frase;;n-s6-agresion_violenci-06;si;Sí;SÍ;polaridad;afirmado;False;;Sí, recibí amenazas.;;False;respuesta al funcionario
Q.RIE.AMENAZAS;riesgo;¿Recibió amenazas?;polar3;polaridad;frase;;n-s6-agresion_violenci-06;no;No;NO;polaridad;negado;False;;No recibí amenazas.;;False;respuesta al funcionario
Q.RIE.AMENAZAS;riesgo;¿Recibió amenazas?;polar3;polaridad;frase;;n-s6-agresion_violenci-06;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No estoy seguro.;;False;respuesta al funcionario
Q.RIE.AUXILIO;riesgo;¿Necesita auxilio ahora?;polar3;polaridad;frase;violencia#2;n-s6-agresion_violenci-08;si;Sí;SÍ;polaridad;afirmado;False;;Sí, necesito auxilio ahora.;;False;recorrido|respuesta al funcionario
Q.RIE.AUXILIO;riesgo;¿Necesita auxilio ahora?;polar3;polaridad;frase;violencia#2;n-s6-agresion_violenci-08;no;No;NO;polaridad;negado;False;;No necesito auxilio ahora.;;False;recorrido|respuesta al funcionario
Q.RIE.AUXILIO;riesgo;¿Necesita auxilio ahora?;polar3;polaridad;frase;violencia#2;n-s6-agresion_violenci-08;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;recorrido|respuesta al funcionario
Q.RIE.MIEDO_CASA;riesgo;¿Tiene miedo de volver a su casa?;polar3;polaridad;frase;violencia#12;n-s6-agresion_violenci-07;si;Sí;SÍ;polaridad;afirmado;False;;Sí, tengo miedo de volver a mi casa.;;False;recorrido|respuesta al funcionario
Q.RIE.MIEDO_CASA;riesgo;¿Tiene miedo de volver a su casa?;polar3;polaridad;frase;violencia#12;n-s6-agresion_violenci-07;no;No;NO;polaridad;negado;False;;No tengo miedo de volver a mi casa.;;False;recorrido|respuesta al funcionario
Q.RIE.MIEDO_CASA;riesgo;¿Tiene miedo de volver a su casa?;polar3;polaridad;frase;violencia#12;n-s6-agresion_violenci-07;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;recorrido|respuesta al funcionario
Q.RIE.PIDE_PROTECCION;riesgo;¿Necesita protección?;polar3;polaridad;frase;violencia#13;;si;Sí;SÍ;polaridad;afirmado;False;;Sí, necesito protección.;;False;recorrido
Q.RIE.PIDE_PROTECCION;riesgo;¿Necesita protección?;polar3;polaridad;frase;violencia#13;;no;No;NO;polaridad;negado;False;;No necesito protección.;;False;recorrido
Q.RIE.PIDE_PROTECCION;riesgo;¿Necesita protección?;polar3;polaridad;frase;violencia#13;;no_sabe;No sé;NO_SABER;polaridad;desconocido;False;;No lo sé.;;False;recorrido
